,date,YYYYMMDD,HH,DD,FH,FF,FX,T,T10N,TD,SQ,Q,DR,RH,P,VV,N,U,WW,IX,M,R,S,O,Y,AT,DAF,Day-ahead Price [EUR/MWh]
0,2019-01-01 01:00:00,20190101,1,230,30,20,60,79,,63,0,0,0,0,10309,36,8.0,89,10.0,7,0,0,0,0,0,43292.0,45841.0,27.2
1,2019-01-01 02:00:00,20190101,2,250,30,30,70,84,,56,0,0,0,0,10306,41,8.0,82,10.0,7,0,0,0,0,0,42759.0,44191.0,27.3
2,2019-01-01 03:00:00,20190101,3,250,40,40,90,84,,57,0,0,0,0,10301,57,8.0,83,10.0,7,0,0,0,0,0,41415.0,42844.0,30.1
3,2019-01-01 04:00:00,20190101,4,250,40,40,80,82,,56,0,0,0,0,10293,62,8.0,83,,5,0,0,0,0,0,40129.0,42309.0,20.87
4,2019-01-01 05:00:00,20190101,5,260,40,40,90,84,,53,0,0,0,0,10289,71,8.0,80,,5,0,0,0,0,0,39065.0,42615.0,25.56
5,2019-01-01 06:00:00,20190101,6,260,50,50,100,86,76.0,55,0,0,0,0,10285,71,8.0,80,,5,0,0,0,0,0,39073.0,44341.0,25.58
6,2019-01-01 07:00:00,20190101,7,260,50,50,100,88,,59,0,0,0,0,10283,64,8.0,82,,5,0,0,0,0,0,40279.0,49066.0,25.81
7,2019-01-01 08:00:00,20190101,8,260,50,40,100,80,,73,0,0,0,-1,10284,39,8.0,95,52.0,7,0,1,0,0,0,41635.0,56590.0,29.9
8,2019-01-01 09:00:00,20190101,9,270,50,40,90,82,,77,0,2,10,2,10285,47,8.0,96,58.0,7,0,1,0,0,0,42773.0,63730.0,26.33
9,2019-01-01 10:00:00,20190101,10,290,40,40,80,85,,81,0,6,10,2,10284,42,8.0,97,58.0,7,0,1,0,0,0,44201.0,67239.0,26.38
10,2019-01-01 11:00:00,20190101,11,300,30,30,90,89,,75,0,24,0,-1,10282,63,8.0,90,23.0,7,0,1,0,0,0,46156.0,68713.0,29.9
11,2019-01-01 12:00:00,20190101,12,300,40,40,80,87,79.0,60,0,38,0,0,10283,66,8.0,83,2.0,7,0,0,0,0,0,47560.0,69062.0,34.9
12,2019-01-01 13:00:00,20190101,13,310,40,50,90,90,,45,2,46,0,0,10287,64,7.0,73,,5,0,0,0,0,0,48842.0,68870.0,35.8
